Date,HomeTeam,AwayTeam,FTHG,FTAG,league,source
05:00,Jeonbuk Motors,Pohang Steelers,3.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gwangju FC,FC Anyang,2.0,5.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Ulsan Hyundai FC,Daejeon Citizen,1.0,4.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,FC Seoul,Gimcheon Sangmu FC,2.0,3.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Ulsan Hyundai FC,Pohang Steelers,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Incheon United,Gangwon FC,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Jeju United FC,Jeonbuk Motors,0.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
10:00,FC Anyang,Bucheon FC 1995,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
10:00,Gwangju FC,Daejeon Citizen,0.0,5.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Bucheon FC 1995,Jeju United FC,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Jeonbuk Motors,Gwangju FC,4.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Daejeon Citizen,Incheon United,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gangwon FC,Pohang Steelers,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gimcheon Sangmu FC,Ulsan Hyundai FC,1.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
10:00,FC Seoul,FC Anyang,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Jeju United FC,FC Seoul,2.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gimcheon Sangmu FC,Incheon United,0.0,3.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gwangju FC,Gangwon FC,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
10:00,Daejeon Citizen,Pohang Steelers,0.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Ulsan Hyundai FC,Bucheon FC 1995,1.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,FC Anyang,Jeonbuk Motors,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Gangwon FC,Daejeon Citizen,2.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Gwangju FC,FC Seoul,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
