Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,league,source
13/09/2026,17:30,Getafe,La Coruna,1,1,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
13/09/2026,20:00,Sociedad,Ath Madrid,0,3,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
14/09/2026,20:00,Villarreal,Betis,1,2,1,2,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
15/09/2026,18:00,Vallecano,Espanol,2,1,2,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
15/09/2026,19:00,Alaves,Valencia,0,1,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
15/09/2026,20:30,Elche,Real Madrid,2,3,0,2,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
16/09/2026,18:00,Ath Madrid,Osasuna,4,0,1,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
16/09/2026,18:00,La Coruna,Sevilla,0,1,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
16/09/2026,20:30,Barcelona,Santander,7,2,4,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
17/09/2026,18:00,Betis,Getafe,1,0,1,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
17/09/2026,20:30,Malaga,Villarreal,1,3,1,2,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
